ticker,price,ma_200,market_cap,as_of
PENG,50.38,35.43,2581607168,2026-08-26
PHIN,70.92,70.64,2598373120,2026-08-26
PINS,23.31,22.11,13200000000,2026-08-27
PKG,246.54,221.41,21966292992,2026-08-26
PLMR,131.82,125.02,3480000000,2026-08-27
PLXS,245.26,218.05,6540000000,2026-08-27
PNTG,38.28,32.67,1340000000,2026-08-27
POWL,194.9,198.19,7100000000,2026-08-27
PPC,31.29,34.73,7450000000,2026-08-27
PRDO,33.41,32.67,2090699392,2026-08-26
PRIM,74.8,125.72,4058269440,2026-08-26
PRLB,77.6,64.85,1856339072,2026-08-26
PSN,48.04,60.27,5130931200,2026-08-26
PUMP,10.63,12.69,1310000000,2026-08-27
PYPL,62.22,51.35,53230000000,2026-08-27
PZZA,23.61,34.69,777280000,2026-08-27
QCOM,163.72,168.0,174860000000,2026-08-27
QGEN,43.65,42.89,9013507072,2026-08-26
QRVO,95.14,87.4,8390000000,2026-08-27
RAIL,7.94,9.43,260360000,2026-08-27
RCMT,40.59,24.12,288630000,2026-08-27
RDCM,10.25,12.81,171570000,2026-08-27
RDVT,69.5,51.82,1120000000,2026-08-27
REPX,37.44,32.03,829440000,2026-08-27
RFIL,10.73,11.95,116400000,2026-08-27
RGCO,21.86,22.34,227770000,2026-08-27
RGEN,181.69,140.97,10253788160,2026-08-26
RICK,30.75,25.01,235030000,2026-08-26
RL,355.25,365.87,21170000000,2026-08-27
RMBS,91.01,108.4,9870000000,2026-08-27
RMD,236.21,228.86,34070000000,2026-08-27
ROST,241.19,209.8,77369188352,2026-08-26
RSI,26.43,23.25,6130000000,2026-08-27
RVLV,23.36,24.52,1660000000,2026-08-27
SAH,78.04,72.4,2470000000,2026-08-27
SAIA,350.85,382.12,9330000000,2026-08-27
SAM,189.41,204.63,1949347328,2026-08-26
SANM,198.64,182.36,10650000000,2026-08-27
SAP,216.93,197.81,250381533184,2026-08-26
SBLK,30.52,24.13,3410000000,2026-08-27
SCL,62.67,53.09,1420000000,2026-08-27
SCSC,56.19,43.54,1142035200,2026-08-26
SD,13.91,14.96,514790000,2026-08-27
SENEA,191.79,142.33,1310000000,2026-08-27
SFD,22.05,24.61,8680000000,2026-08-27
SFM,86.83,79.17,8100000000,2026-08-27
SGOV,100.65,,,2026-08-27
SHOO,45.5,40.9,3329557760,2026-08-26
SHOP,150.29,131.46,193370000000,2026-08-27
SITE,95.11,124.66,4152064256,2026-08-26
SKWD,58.04,49.52,2580000000,2026-08-27
SKY,91.74,82.75,4979659776,2026-08-26
SKYW,99.89,97.01,3880000000,2026-08-27
SM,35.36,26.11,8410000000,2026-08-27
SMID,27.54,32.44,146060000,2026-08-27
SMP,37.11,38.57,829050000,2026-08-27
SN,182.99,124.0,25780000000,2026-08-26
SNA,394.1,374.56,20390000000,2026-08-26
SNDK,1499.37,958.49,219540000000,2026-08-27
SNN,29.18,32.16,12240000000,2026-08-27
SOGP,12.37,13.19,51630000,2026-08-27
SPOT,550.03,510.37,113080000000,2026-08-27
SPSC,79.71,68.72,2870000000,2026-08-26
SSD,186.58,183.27,7650000000,2026-08-26
STE,236.44,234.14,23050000000,2026-08-26
STRA,85.31,80.34,1870000000,2026-08-27
STRT,72.76,78.99,289420000,2026-08-27
SUS.L,1980.0,1978.39,,2026-08-27
SVM,12.87,10.6,2800000000,2026-08-27
SW,49.43,41.95,25890000000,2026-08-26
SWKS,65.05,63.83,9790000000,2026-08-26
TASK,7.96,8.58,730750000,2026-08-26
TBCH,12.66,12.67,226740000,2026-08-27
TDW,89.08,72.05,4430000000,2026-08-27
TECH,72.38,60.54,11350000000,2026-08-27
TEL,203.86,217.48,59020000000,2026-08-26
TER,363.1,310.19,56770000000,2026-08-27
THRM,40.17,34.57,1230000000,2026-08-27
TILE,38.7,30.33,2240000000,2026-08-27
TME,8.66,12.69,13620000000,2026-08-27
TMUS,179.61,195.62,192660000000,2026-08-27
TPC,87.33,77.49,4590000000,2026-08-26
TREX,46.84,40.62,4770000000,2026-08-26
TRI,104.35,104.14,45150000000,2026-08-26
TRMD,30.08,26.99,3130000000,2026-08-27
TSLA,344.8,401.78,1360000000000,2026-08-26
TSM,424.85,368.9,1960000000000,2026-08-27
TSN,56.55,60.46,19840000000,2026-08-27
TTC,99.44,89.91,9470000000,2026-08-26
TXN,261.77,235.95,239060000000,2026-08-27
TXRH,203.28,178.6,13340000000,2026-08-27
UAN,126.23,114.99,1330000000,2026-08-27
UFPI,89.23,92.45,4910000000,2026-08-26
UHS,178.69,187.99,10530000000,2026-08-27
UI,559.0,658.92,33840000000,2026-08-26
ULS,73.99,85.44,14940000000,2026-08-26
ULTA,543.19,555.56,23350000000,2026-08-27
UNF,287.98,240.87,5210000000,2026-08-27
UNP,313.57,257.71,186280000000,2026-08-26
UPS,106.0,104.59,90180000000,2026-08-26
URBN,82.62,71.34,7080000000,2026-08-27
UTHR,516.68,521.89,22160000000,2026-08-27
VBNK,20.43,16.44,655880000,2026-08-27
VECO,46.17,43.36,2820000000,2026-08-27
VEEV,244.91,199.05,39780000000,2026-08-27
VICR,195.13,199.6,9000000000,2026-08-27
VMC,276.16,289.15,35780000000,2026-08-26
VMD,9.33,9.05,355360000,2026-08-27
VMI,476.98,465.74,9210000000,2026-08-27
VTS,16.93,18.66,712830000,2026-08-27
VWRA.L,194.18,,,2026-08-27
WDFC,214.15,218.04,2870000000,2026-08-26
WES,48.44,42.48,20010000000,2026-08-27
WEYS,44.62,34.59,420930000,2026-08-26
WFRD,87.36,91.55,6260000000,2026-08-27
WILC,29.8,28.06,415120000,2026-08-27
WIT,1.88,2.3,18670000000,2026-08-26
WLDN,85.45,92.95,1300000000,2026-08-26
WSO,314.31,376.06,12130000000,2026-08-27
WST,349.92,291.23,24630000000,2026-08-27
WTS,377.33,312.96,12600000000,2026-08-26
XPEL,50.21,46.68,1380000000,2026-08-26
XYZ,85.03,68.23,51080000000,2026-08-27
XZO,17.53,,1580000000,2026-08-27
YALA,5.54,6.42,841130000,2026-08-27
YELP,23.7,26.06,1290000000,2026-08-26
YMM,8.76,9.47,9090000000,2026-08-27
YUMC,48.57,47.85,16630000000,2026-08-26
ZIM,28.08,24.16,3380000000,2026-08-26
ZTO,21.09,22.99,16030000000,2026-08-27
ZUMZ,18.45,22.96,311290000,2026-08-27
